from,to,dx,dy,dtheta
0,1,0.6221613634340198,0.07686734330014103,0.2231688845077977
1,2,0.8129377765386543,0.35931679722031645,0.4040750540885206
2,3,0.3915217889087223,-0.0011434568757090757,-0.3561830948130926
3,4,0.7138622635553389,0.2566536955040115,-0.03950712543151834
4,5,0.558507108966742,0.04172824961128316,0.5382448063702376
5,6,0.6190242878319445,0.33621740280426626,0.05506332322759308
6,7,0.5581255048436886,0.2826611552690733,-0.11841609744519105
7,8,0.5349607784868766,0.6100654557983306,0.2746163275014039
8,9,0.8717516096179951,0.2932994245848856,-0.18683433638713606
9,10,0.42705629197421946,0.07019491898357261,0.21905738498578115
10,11,0.1639040338332165,0.5512060646909258,-0.1340722559841603
11,12,0.4525209500814009,-0.0010645735674197077,-0.3631182161204881
12,13,0.5593845537952623,0.20280853913159183,-0.130086686331711
13,14,0.2529149290085852,0.08011328170510021,0.2728484923809711
14,15,0.5087258077049521,-0.059479477136863856,-0.11786977176078868
15,16,0.4254406693098636,-0.4371691309334329,0.08846203839798022
16,17,0.5226795794188196,0.33574884844123026,0.28139438767878533
17,18,0.6667119983177973,0.09398313294977287,-0.18568675108322902
18,19,0.9919705421733396,0.19047014218422093,-0.0712780931064683
19,20,0.6415851689049118,0.2912178308794904,0.0514350312308644
20,21,0.3032089079676171,-0.189162587745695,-0.042015760386066824
21,22,0.4084928338460418,0.10342978037403996,-0.09991910832502093
22,23,0.37690329978482984,0.2928910174937591,-0.49090051512512245
23,24,0.7648322062829759,0.40174577430159686,-0.45340617193391203
24,25,0.4667403097097531,0.08745271978285359,-0.2683781421951199
25,26,0.28385341693928634,-0.20165599950158164,0.21018869309669008
26,27,0.7659828212319622,0.25671740677051197,0.20282348135672373
27,28,0.22788537315740098,-0.039609679435517284,0.09204417913204879
28,29,0.2735342480419562,0.24706267814649932,-0.2136754982965012
29,30,0.4120477581823449,0.09386964177335885,0.0926621684350846
30,31,0.5530185694871717,0.2887850503984105,-0.2840950899948568
31,32,0.5324109137405809,0.10703152352952053,0.0014736500957774346
32,33,0.5155284820515937,-0.3007402484303742,0.20911486042885202
33,34,0.5595449275784283,0.0069986941854611046,0.22416895665552242
34,35,0.2594743966018096,-0.3979311549751913,-0.4073562069515092
35,36,0.695199915331983,-0.44217746350389514,0.40441286385839076
36,37,-0.02230000470689969,0.3844658925098248,-0.13207433664390894
37,38,0.5147441441890601,-0.22890267043213963,0.04033107934376513
38,39,0.5712379865674807,0.20695864256753685,0.08248931155387944
39,40,0.559653182312756,-0.2560630431420413,-0.011504129066003616
40,41,0.5357180016522108,-0.4206623090119619,-0.31185673059379715
41,42,0.6368145534397027,-0.05849945095886009,-0.1591464878932329
42,43,0.4969265787671001,-0.046932671136133156,-0.028830511746457232
43,44,0.28798070299469847,-0.2091100857382729,-0.2753767604393621
44,45,0.6220970030555983,-0.45232665157216645,0.2864994675230932
45,46,0.609992331168425,-0.1206475051958279,0.16427192718354716
46,47,0.9114955015655231,0.01980815206734557,-0.4496602003913804
47,48,0.21092197263440693,-0.1870469626652672,0.011328543657807541
48,49,0.5007114446613325,-0.4046084968559902,-0.0041174351259374575
49,50,0.4557921825812851,-0.4049633280227828,-0.24471019120481374
50,51,0.28240760110133667,-0.36819315453992846,-0.15648086014955914
51,52,0.698648936141151,-0.34336355526488227,0.41824902644696826
52,53,0.6656060574475887,-0.23758125811208547,-0.10734994114195823
53,54,0.6635407003786242,-0.46859312258319524,-0.036461457427651195
54,55,1.0095435002988427,-0.19856858732800167,0.20859495785744553
55,56,0.2733523956719519,-0.1552099628957179,0.38134204121539117
