index,x,y,theta
0,0.024835707650561634,0.017889368017414167,0.38375788723168175
1,0.49559934775551107,0.27918977615308027,0.4330055877183474
2,1.0374095525331752,0.5558195927286566,0.4617214792952548
3,1.5836891812626122,0.8036070765152309,0.4612824342630179
4,1.9983425825201144,0.9293876407484308,0.4328922430135906
5,2.5008559662228924,1.1962136998193893,0.481986653460463
6,3.0940360176597914,1.510552143702677,0.3918966519083177
7,3.5559596761561374,1.748436494115924,0.431575445552189
8,3.996626783215815,1.982097050619248,0.43710776382259736
9,4.549741067505931,2.3776396104903705,0.4481943914871775
10,5.00195474350008,2.436689547016204,0.4484134727787689
11,5.50435170327626,2.681985547815007,0.3459427965104065
12,6.042248867347145,2.883341849299621,0.3137959147630723
13,6.436999304350024,3.071486794993532,0.44170140837957206
14,6.948929987771333,3.218757016556658,0.38074559570266453
15,7.509574065749006,3.4599061300434153,0.3120244367590647
16,7.989559449008404,3.5621143276982967,0.4113454484606074
17,8.558425934468959,3.7586219031768433,0.32294861715032364
18,8.999824926877205,3.9063827742375823,0.3585670478154287
19,9.477123508400572,4.085009229618906,0.28450309632637116
20,10.123533694727485,4.336610108344825,0.36481020994202407
21,10.541475004071149,4.256819308847208,0.3293451035991569
22,11.058652792143944,4.502818245756681,0.2081399497357566
23,11.486551535412945,4.494910665533903,0.2474333962892366
24,12.033082371311428,4.647439401335974,0.2087052708369545
25,12.568360199837251,4.8091802943179855,0.22182946758539887
26,13.007776954294712,4.82963946390957,0.0815640719973644
27,13.586624096897182,4.83204585168125,0.1400531405454411
28,14.04031982429803,4.897340225501687,0.13422240743190628
29,14.558279634118374,5.001803217613709,-0.0313880112329679
30,15.045291553810639,4.95348086574637,-0.027578505095091257
31,15.670503356461627,5.0103999554719305,-0.09546092956996857
32,16.079727148813355,4.998811227407774,-0.03207799161139308
33,16.530029026416525,4.948293694254461,-0.007768535023921268
34,17.12655438128355,5.05983699254373,0.00659857646422328
35,17.526897515993912,4.94359809684125,-0.08943179578250518
36,18.100895441056768,4.757506503836612,-0.0359777683209874
37,18.494981317926612,4.802681122688429,-0.21025559840542002
38,19.02906808448975,4.682762269618079,-0.24975174193206906
39,19.6078330115422,4.669060535782312,-0.19010796011059755
40,20.13742584156258,4.485719935083042,-0.19022296443238768
41,20.61158348943638,4.407091304602405,-0.23244261060504226
42,21.09974522407154,4.3144187660179565,-0.35479243122773935
43,21.592985016225562,4.197969753809489,-0.27567100691232427
44,22.036626664300723,3.94969061705168,-0.3553732118286799
45,22.577073116213427,3.8378806863270816,-0.27470487177071545
46,23.092545950899243,3.6660272342684785,-0.3069711413762711
47,23.67094656357225,3.482961373332198,-0.3884564955013224
48,24.137783929553798,3.4208781262060666,-0.3823461618856816
49,24.534963570121306,3.1614183919807695,-0.4238169499070347
50,25.141832339173256,2.8787586245563763,-0.387194921742204
51,25.608886589496773,2.7809023911397146,-0.34850113129629656
52,26.096807166316356,2.627418613641221,-0.45672851781680646
53,26.663749643587767,2.3528701307901607,-0.39240690292252195
54,27.187228368084593,1.9994045734545203,-0.45327032327924544
55,27.684754960729677,1.8200479660714486,-0.47453003067893507
56,28.098742641426806,1.671835701275123,-0.4473481165906459
57,28.627755461609446,1.3332762580575892,-0.4998513770891177
58,29.162291814786258,1.1475648933209408,-0.4808483985495112
59,29.697018462386268,0.9179786315367645,-0.5171221849075818
60,30.126795056951956,0.584553614954159,-0.36204166156310913
61,30.643983382825095,0.3779842736810389,-0.46055297359674946
62,31.100462145772056,-0.032004217426449405,-0.4983302246468217
