-4.99876e-06  6.31565e-06 -0.000487942
-1.95191e-05  3.07354e-05  -0.00195248
-3.52439e-05  7.22902e-05  -0.00440056
-4.88012e-05  0.000124861  -0.00783469
-6.00313e-05  0.000193372   -0.0122544
-6.36567e-05  0.000284777   -0.0176612
-6.17927e-05  0.000401365   -0.0240459
-5.63036e-05  0.000543043   -0.0314046
-5.07813e-05  0.000706614   -0.0397394
-4.88494e-05  0.000886208   -0.0490519
-4.41809e-05   0.00108251   -0.0593445
-3.7684e-05  0.00129475  -0.0706125
-3.56206e-05   0.00152703   -0.0828557
-3.3027e-05  0.00178613  -0.0960751
-2.39769e-05   0.00206922    -0.110269
-1.3761e-05  0.00237165   -0.125441
-6.94917e-06   0.00269556    -0.141597
-2.9982e-06  0.00303966   -0.158738
-6.43956e-07   0.00340051    -0.176857
3.4993e-06 0.00378475  -0.195955
4.9646e-06 0.00419015   -0.21604
6.89182e-06  0.00461069   -0.237112
9.90332e-06  0.00505043   -0.259168
1.05265e-05  0.00551541   -0.282202
1.70887e-05  0.00600292   -0.306219
2.83421e-05  0.00651411   -0.331221
3.57586e-05   0.0070514   -0.357205
3.85953e-05  0.00760721    -0.38417
4.50429e-05  0.00817914   -0.412123
5.19442e-05  0.00876881    -0.44106
5.33746e-05  0.00937661   -0.470975
5.54322e-05    0.010008   -0.501867
6.06354e-05   0.0106665   -0.533738
6.66213e-05   0.0113515   -0.566581
7.58915e-05   0.0120575   -0.600401
8.98113e-05   0.0127851   -0.635199
0.000107904   0.0135385   -0.670972
0.000129068   0.0143094   -0.707719
0.000147317   0.0151002   -0.745437
0.00016249  0.0159199  -0.784133
0.000181384   0.0167638   -0.823808
0.000209534   0.0176236    -0.86446
0.000245859   0.0185021    -0.90609
0.000282442   0.0194061   -0.948696
0.000319192   0.0203347   -0.992281
0.000363561    0.021289    -1.03685
0.000415713   0.0222705    -1.08239
0.000468042   0.0232796    -1.12891
0.000518842   0.0243102    -1.17641
0.00056853  0.0253535   -1.22489
0.000618058   0.0264151    -1.27434
0.000667423   0.0274974    -1.32477
0.000715177   0.0285986    -1.37617
0.000763934   0.0297241    -1.42855
0.000809517   0.0308733     -1.4819
0.000849624   0.0320414    -1.53623
0.000885707   0.0332239    -1.59154
0.000920369   0.0344243    -1.64782
0.000954062   0.0356464    -1.70508
0.000991516   0.0368844    -1.76331
0.00103778  0.0381339   -1.82252
0.00108563   0.039403   -1.88271
0.00113492   0.040692   -1.94388
0.00118894  0.0419985   -2.00602
0.00124126  0.0433223   -2.06913
0.00129384  0.0446634   -2.13322
0.00134563  0.0460272   -2.19829
0.00139542  0.0474134   -2.26433
0.00144934  0.0488195   -2.33135
0.00150298  0.0502391   -2.39935
0.00155004  0.0516739   -2.46834
0.00159129  0.0531315   -2.53829
0.00162683  0.0546171   -2.60922
0.00165756  0.0561271   -2.68112
0.00168335   0.057653   -2.75399
0.0017065  0.059191  -2.82783
0.0017363 0.0607427  -2.90265
0.00176915  0.0623142   -2.97844
0.00179646  0.0639052   -3.05521
0.00182169  0.0655123   -3.13295
0.0018449 0.0671433  -3.21168
0.00186951  0.0687962    -3.2914
0.00190111  0.0704681   -3.37208
0.00193607   0.072163   -3.45373
0.00197419  0.0738757   -3.53635
0.0020111 0.0756092  -3.61995
0.00204617   0.077369   -3.70451
0.00208587  0.0791464   -3.79006
0.00212869  0.0809415   -3.87657
0.0021765 0.0827563  -3.96407
0.00223016  0.0845843   -4.05254
0.0022873 0.0864286  -4.14198
0.00234662  0.0882977   -4.23239
0.00240485  0.0901881   -4.32377
0.0024592 0.0920926  -4.41612
0.00250816   0.094016   -4.50945
0.00255293  0.0959641   -4.60375
0.00259549  0.0979314   -4.69902
0.00263515  0.0999163   -4.79526
0.00267587   0.101925   -4.89248
0.00271644   0.103952   -4.99067
0.00275778   0.105991   -5.08983
0.00280453   0.108045   -5.18997
0.00285189   0.110115   -5.29108
0.0029002    0.1122  -5.39315
0.00294733     0.1143   -5.49619
0.00299645   0.116424   -5.60021
0.00304999   0.118575   -5.70519
0.00310117   0.120754   -5.81115
0.00314639   0.122953   -5.91807
0.00318922   0.125169   -6.02596
0.00323517   0.127404   -6.13482
0.00328278   0.129659   -6.24466
0.0033326  0.131929  -6.35548
0.00338607   0.134218   -6.46726
0.00344108   0.136526      -6.58
0.00349936   0.138852   -6.69371
0.00356087     0.1412    -6.8084
0.00362597   0.143563   -6.92406
0.0036921  0.145936  -7.04069
0.00376144   0.148328    -7.1583
0.00383562   0.150742   -7.27688
0.00391144   0.153173   -7.39643
0.00398903   0.155622   -7.51694
0.00406749   0.158088   -7.63842
0.00414261   0.160575   -7.76088
0.00421426   0.163082   -7.88431
0.00429013   0.165601   -8.00871
0.00436844   0.168133   -8.13409
0.0044428  0.170687  -8.26044
0.00451146   0.173262   -8.38776
0.00458201   0.175853   -8.51605
0.0046612  0.178465  -8.64531
0.00474606   0.181096   -8.77553
0.004837 0.183742 -8.90672
0.0049325  0.186409  -9.03887
0.00503144   0.189098   -9.17199
0.00513307   0.191804   -9.30608
0.0052356  0.194528  -9.44114
0.00534419   0.197274   -9.57716
0.00545428   0.200035   -9.71416
0.00556113   0.202816   -9.85213
0.0056722  0.205623  -9.99107
0.00578815   0.208453    -10.131
0.00590167   0.211297   -10.2718
0.00601644   0.214152   -10.4137
0.00613559   0.217025   -10.5565
0.00625526   0.219914   -10.7003
0.00637965   0.222822    -10.845
0.00651086   0.225753   -10.9907
0.00664428   0.228703   -11.1374
0.00678194   0.231668    -11.285
0.00692365    0.23465   -11.4336
